Order_ID,Order_Date,Customer_ID,Quantity,Discount,Revenue,Cost,Profit,Profit_Margin_%,Shipping_Cost,product_id,shipping_id,location_id,payment_id
"ORD-003065",2022-04-21 00:00:00.000,"CUST-05578",1,0,96.34,70.28,26.06,27.05,33.47,63,80,18,3
"ORD-003073",2023-12-24 00:00:00.000,"CUST-02089",1,0,17.56,11.07,6.49,36.96,16.78,31,31,7,3
"ORD-003173",2023-03-01 00:00:00.000,"CUST-06210",1,0,66.32,34.15,32.17,48.51,50.1,44,42,18,3
"ORD-003286",2023-07-05 00:00:00.000,"CUST-07569",1,0,25.15,13.53,11.62,46.2,9.13,28,168,10,3
"ORD-003305",2024-06-12 00:00:00.000,"CUST-07747",1,0,53.09,30.37,22.72,42.8,7.16,13,284,9,3
"ORD-003313",2024-01-25 00:00:00.000,"CUST-02598",1,0,67.36,41.9,25.46,37.8,69.49,21,42,16,3
"ORD-003318",2023-09-04 00:00:00.000,"CUST-02576",1,0,309.95,191.68,118.27,38.16,95.63,70,43,11,3
"ORD-003327",2022-11-23 00:00:00.000,"CUST-01632",1,0,757.81,381.87,375.94,49.61,43.9,32,69,9,3
"ORD-003345",2023-06-20 00:00:00.000,"CUST-01758",1,0,25.37,16.59,8.78,34.61,3.53,22,118,16,3
"ORD-003385",2024-03-30 00:00:00.000,"CUST-07697",1,0,69.69,32.51,37.18,53.35,3.38,44,28,17,3
"ORD-003387",2023-09-02 00:00:00.000,"CUST-07990",1,0,55.49,26.94,28.55,51.45,70.89,31,129,9,3
"ORD-003564",2021-11-21 00:00:00.000,"CUST-02226",1,0,165.66,90.47,75.19,45.39,42.32,65,226,1,3
"ORD-003585",2022-09-18 00:00:00.000,"CUST-01707",1,0,52.16,29.49,22.67,43.46,57.47,31,129,5,3
"ORD-003690",2023-07-27 00:00:00.000,"CUST-06569",1,0,92.46,62.83,29.63,32.05,10.17,52,243,10,3
"ORD-003700",2023-10-09 00:00:00.000,"CUST-04315",1,0,26.4,15.09,11.31,42.84,54.63,29,6,8,3
"ORD-003766",2021-12-22 00:00:00.000,"CUST-05548",1,0,24.29,17.56,6.73,27.71,22.36,49,22,2,3
"ORD-003784",2024-05-18 00:00:00.000,"CUST-03021",1,0,235.76,133.44,102.32,43.4,60.85,54,43,15,3
"ORD-003785",2024-01-27 00:00:00.000,"CUST-06712",1,0,31.81,19.82,11.99,37.69,16.3,9,35,10,3
"ORD-003800",2024-11-20 00:00:00.000,"CUST-01920",1,0,88.17,49.61,38.56,43.73,57.29,68,227,3,3
"ORD-003826",2021-11-25 00:00:00.000,"CUST-04843",1,0,790.82,485.11,305.71,38.66,50.76,38,129,7,3
"ORD-003965",2023-12-15 00:00:00.000,"CUST-07403",1,0,68.74,44.67,24.07,35.02,5.48,36,25,9,3
"ORD-003975",2024-06-05 00:00:00.000,"CUST-05632",1,0,598.72,415.14,183.58,30.66,60.54,17,164,6,3
"ORD-003997",2022-10-02 00:00:00.000,"CUST-05905",1,0,570.24,302.55,267.69,46.94,91.27,70,34,17,3
"ORD-004065",2024-03-14 00:00:00.000,"CUST-07060",1,0,1002.91,674.5,328.41,32.75,5.5,24,239,9,3
"ORD-004309",2024-07-20 00:00:00.000,"CUST-02114",1,0,23.17,11.69,11.48,49.55,95.66,2,57,10,3
"ORD-004388",2024-07-01 00:00:00.000,"CUST-01686",1,0,172.69,91.76,80.93,46.86,95.87,42,123,3,3
"ORD-004429",2022-07-20 00:00:00.000,"CUST-04465",1,0,36.56,19.53,17.03,46.58,29.34,2,187,6,3
"ORD-004543",2022-12-03 00:00:00.000,"CUST-04707",1,0,222.78,159.5,63.28,28.4,5.85,10,44,10,3
"ORD-004587",2021-08-07 00:00:00.000,"CUST-05615",1,0,1170.17,528.57,641.6,54.83,8.46,55,244,18,3
"ORD-004627",2022-09-01 00:00:00.000,"CUST-04957",1,0,37.92,20.6,17.32,45.68,6.19,7,273,7,3
"ORD-004628",2023-12-14 00:00:00.000,"CUST-03002",1,0,33.72,15.35,18.37,54.48,37.48,49,84,3,3
"ORD-004725",2022-11-26 00:00:00.000,"CUST-01618",1,0,57.45,25.88,31.57,54.95,90.08,53,89,3,3
"ORD-004755",2022-10-18 00:00:00.000,"CUST-01382",1,0,1139.23,822.6,316.63,27.79,17.78,59,59,18,3
"ORD-004788",2023-01-24 00:00:00.000,"CUST-07721",1,0,11.64,7.79,3.85,33.08,48.54,13,303,18,3
"ORD-004796",2023-05-23 00:00:00.000,"CUST-05384",1,0,72.26,38.98,33.28,46.06,29.42,13,27,13,3
"ORD-004881",2024-05-26 00:00:00.000,"CUST-04163",1,0,45.29,24.38,20.91,46.17,10.45,13,31,10,3
"ORD-004883",2024-04-03 00:00:00.000,"CUST-07093",1,0,415.12,244.88,170.24,41.01,53.54,32,191,12,3
"ORD-004918",2022-02-26 00:00:00.000,"CUST-05900",1,0,141.95,90.91,51.04,35.96,9.29,37,334,8,3
"ORD-005007",2024-05-30 00:00:00.000,"CUST-07016",1,0,54.6,29.98,24.62,45.09,95.77,27,34,18,3
"ORD-005130",2024-03-21 00:00:00.000,"CUST-07769",1,0,158.92,101.21,57.71,36.31,2.32,60,12,2,3
"ORD-005382",2023-10-23 00:00:00.000,"CUST-03476",1,0,92.64,67.94,24.7,26.66,38.19,18,84,3,3
"ORD-005458",2024-03-05 00:00:00.000,"CUST-05128",1,0,53.09,38.72,14.37,27.07,80.62,13,86,12,3
"ORD-005511",2023-10-22 00:00:00.000,"CUST-03596",1,0,121.83,63.58,58.25,47.81,26.83,62,8,15,3
"ORD-005528",2024-10-05 00:00:00.000,"CUST-06636",1,0,32.66,20.43,12.23,37.45,21.69,37,9,11,3
"ORD-005579",2024-06-23 00:00:00.000,"CUST-05354",1,0,29.13,18.21,10.92,37.49,94.84,15,42,13,3
"ORD-005638",2022-04-01 00:00:00.000,"CUST-07595",1,0,327.78,151.46,176.32,53.79,6.62,40,261,11,3
"ORD-005806",2024-04-26 00:00:00.000,"CUST-06690",1,0,197.07,127.88,69.19,35.11,76.79,62,127,3,3
"ORD-005873",2024-01-21 00:00:00.000,"CUST-04904",1,0,328.41,197.04,131.37,40,44.39,41,14,7,3
"ORD-005920",2022-01-09 00:00:00.000,"CUST-01078",1,0,92.7,46.26,46.44,50.1,11.51,30,208,12,3
"ORD-006048",2023-08-18 00:00:00.000,"CUST-05146",1,0,65.15,38.45,26.7,40.98,88.19,13,88,4,3
"ORD-006078",2023-08-02 00:00:00.000,"CUST-02502",1,0,38.08,20.34,17.74,46.59,25.42,18,18,7,3
"ORD-006090",2023-05-01 00:00:00.000,"CUST-01835",1,0,76.57,36.49,40.08,52.34,19.51,31,320,13,3
"ORD-006123",2022-01-03 00:00:00.000,"CUST-07083",1,0,50.43,29.26,21.17,41.98,89.83,29,129,2,3
"ORD-006171",2023-09-20 00:00:00.000,"CUST-04668",1,0,39.83,25.69,14.14,35.5,18.97,28,31,3,3
"ORD-006178",2023-06-15 00:00:00.000,"CUST-01931",1,0,64.41,43.57,20.84,32.36,4.05,23,239,12,3
"ORD-006242",2022-07-27 00:00:00.000,"CUST-05553",1,0,1299.87,924.49,375.38,28.88,5.39,38,223,4,3
"ORD-006244",2023-02-06 00:00:00.000,"CUST-04753",1,0,71.11,48.28,22.83,32.11,75.49,53,89,1,3
"ORD-006469",2023-07-02 00:00:00.000,"CUST-06801",1,0,24.3,14.13,10.17,41.85,5.16,22,31,1,3
"ORD-006606",2023-10-01 00:00:00.000,"CUST-03223",1,0,23.23,12.93,10.3,44.34,3.43,15,52,6,3
"ORD-006628",2022-07-16 00:00:00.000,"CUST-04920",1,0,30.22,18.9,11.32,37.46,34.84,26,84,10,3
"ORD-006647",2023-06-25 00:00:00.000,"CUST-04293",1,0,529.35,374.81,154.54,29.19,3.04,40,108,5,3
"ORD-006761",2023-02-23 00:00:00.000,"CUST-04010",1,0,154.57,109.85,44.72,28.93,2.59,52,105,14,3
"ORD-006775",2024-03-06 00:00:00.000,"CUST-02101",1,0,35.94,17.02,18.92,52.64,8.4,9,38,3,3
"ORD-006814",2023-05-12 00:00:00.000,"CUST-01592",1,0,96.04,61.15,34.89,36.33,4.27,18,95,8,3
"ORD-007023",2022-06-17 00:00:00.000,"CUST-01818",1,0,200.33,124.12,76.21,38.04,15.14,42,174,16,3
"ORD-007074",2023-09-20 00:00:00.000,"CUST-02164",1,0,34.31,16.21,18.1,52.75,29.56,58,148,18,3
"ORD-007081",2022-02-05 00:00:00.000,"CUST-02683",1,0,14.23,8.24,5.99,42.09,47.26,34,294,1,3
"ORD-007114",2023-05-29 00:00:00.000,"CUST-04362",1,0,123.31,65.43,57.88,46.94,25.23,37,187,12,3
"ORD-007215",2023-06-23 00:00:00.000,"CUST-01146",1,0,22.54,11.33,11.21,49.73,5.15,43,298,3,3
"ORD-007295",2023-07-29 00:00:00.000,"CUST-02207",1,0,74.42,55.09,19.33,25.97,17.11,7,59,13,3
"ORD-007338",2022-05-20 00:00:00.000,"CUST-02967",1,0,311.73,153.99,157.74,50.6,8.36,8,214,11,3
"ORD-007448",2021-12-02 00:00:00.000,"CUST-07463",1,0,417.89,295.19,122.7,29.36,12.41,54,85,6,3
"ORD-007472",2022-03-07 00:00:00.000,"CUST-04216",1,0,51.05,31.55,19.5,38.2,30.48,29,9,18,3
"ORD-007539",2021-09-11 00:00:00.000,"CUST-01980",1,0,384.28,227.82,156.46,40.72,37.64,52,74,1,3
"ORD-007544",2024-01-15 00:00:00.000,"CUST-01201",1,0,31.31,18.74,12.57,40.15,5.04,30,131,6,3
"ORD-007561",2023-07-11 00:00:00.000,"CUST-05994",1,0,17.23,11.99,5.24,30.41,12.75,15,323,14,3
"ORD-007649",2024-04-22 00:00:00.000,"CUST-03160",1,0,134.35,77.88,56.47,42.03,17.52,19,58,9,3
"ORD-007732",2023-01-12 00:00:00.000,"CUST-05560",1,0,162.45,89.98,72.47,44.61,13.23,25,21,11,3
"ORD-007784",2023-05-27 00:00:00.000,"CUST-07444",1,0,425.93,266.08,159.85,37.53,3.39,41,28,5,3
"ORD-007863",2024-05-21 00:00:00.000,"CUST-07391",1,0,84.11,58.67,25.44,30.25,6.42,36,50,1,3
"ORD-007954",2024-06-08 00:00:00.000,"CUST-03707",1,0,88.95,56.48,32.47,36.5,86.69,60,177,14,3
"ORD-008077",2023-07-08 00:00:00.000,"CUST-07662",1,0,919.44,635.06,284.38,30.93,51.4,46,123,3,3
"ORD-008116",2022-04-22 00:00:00.000,"CUST-04245",1,0,412.05,245.37,166.68,40.45,9.99,55,341,12,3
"ORD-008164",2022-06-27 00:00:00.000,"CUST-05891",1,0,72.59,41.28,31.31,43.13,99.53,53,73,11,3
"ORD-008331",2023-11-30 00:00:00.000,"CUST-05187",1,0,958.78,532.76,426.02,44.43,88.81,48,36,7,3
"ORD-008375",2024-01-03 00:00:00.000,"CUST-05547",1,0,94.48,53.59,40.89,43.28,8.67,6,108,9,3
"ORD-008493",2022-10-26 00:00:00.000,"CUST-04446",1,0,68.21,43.36,24.85,36.43,71.05,13,113,1,3
"ORD-008515",2023-09-21 00:00:00.000,"CUST-05417",1,0,957.27,542.45,414.82,43.33,16.23,12,31,17,3
"ORD-008567",2023-08-17 00:00:00.000,"CUST-06217",1,0,29.83,21.05,8.78,29.43,3.96,58,168,2,3
"ORD-008690",2024-08-04 00:00:00.000,"CUST-04603",1,0,703.58,524.8,178.78,25.41,8.07,12,258,18,3
"ORD-008711",2024-05-21 00:00:00.000,"CUST-01768",1,0,241.52,158.9,82.62,34.21,85.45,64,55,5,3
"ORD-008736",2023-12-20 00:00:00.000,"CUST-01135",1,0,237.85,146.01,91.84,38.61,4.48,51,108,1,3
"ORD-008743",2024-03-15 00:00:00.000,"CUST-02588",1,0,129.35,70.55,58.8,45.46,83.2,21,314,1,3
"ORD-008819",2021-06-05 00:00:00.000,"CUST-03522",1,0,199.11,128.02,71.09,35.7,11.69,5,326,13,3
"ORD-008989",2023-06-17 00:00:00.000,"CUST-07401",1,0,74.29,48.81,25.48,34.3,18.79,16,58,14,3
"ORD-009052",2022-03-30 00:00:00.000,"CUST-05662",1,0,54.91,25.35,29.56,53.83,80.22,31,127,3,3
"ORD-009090",2023-09-20 00:00:00.000,"CUST-07451",1,0,176.13,108.72,67.41,38.27,94.56,62,36,16,3
"ORD-009131",2023-02-20 00:00:00.000,"CUST-07978",1,0,177.6,97.42,80.18,45.15,21.79,10,56,10,3
"ORD-009151",2023-09-02 00:00:00.000,"CUST-03969",1,0,20.86,15.08,5.78,27.71,35.12,62,78,10,3
"ORD-009296",2022-04-30 00:00:00.000,"CUST-07692",1,0,35.33,17.32,18.01,50.98,14.54,34,237,1,3
"ORD-009520",2024-05-26 00:00:00.000,"CUST-06298",1,0,116.54,82.67,33.87,29.06,15.3,39,35,13,3
"ORD-009523",2023-05-19 00:00:00.000,"CUST-05070",1,0,804.81,473.59,331.22,41.16,32.88,40,212,4,3
"ORD-009534",2021-11-12 00:00:00.000,"CUST-02509",1,0,1186.39,752.99,433.4,36.53,73.41,40,149,17,3
"ORD-009579",2022-10-28 00:00:00.000,"CUST-04976",1,0,86.6,47.84,38.76,44.76,87.15,36,73,13,3
"ORD-009632",2022-05-24 00:00:00.000,"CUST-05139",1,0,22.42,12.25,10.17,45.36,75.33,28,271,6,3
"ORD-009744",2024-08-18 00:00:00.000,"CUST-05369",1,0,74.12,37.19,36.93,49.82,37.19,47,15,9,3
"ORD-009745",2023-05-24 00:00:00.000,"CUST-05954",1,0,179.23,87.52,91.71,51.17,25.44,6,17,10,3
"ORD-009759",2024-02-20 00:00:00.000,"CUST-01740",1,0,754.18,556.68,197.5,26.19,40.4,24,275,14,3
"ORD-009884",2023-02-07 00:00:00.000,"CUST-01129",1,0,52.52,29.97,22.55,42.94,12.19,53,71,6,3
"ORD-009892",2022-10-03 00:00:00.000,"CUST-03939",1,0,101.34,73.6,27.74,27.37,92.52,42,89,15,3
"ORD-009959",2022-12-12 00:00:00.000,"CUST-04153",1,0,155.54,71.17,84.37,54.24,7.13,16,238,4,3
"ORD-000146",2021-08-02 00:00:00.000,"CUST-02222",1,0,1656.12,1228.32,427.8,25.83,84.82,50,103,12,6
"ORD-000341",2024-01-23 00:00:00.000,"CUST-04996",1,0,21.98,12.52,9.46,43.04,34.43,2,121,6,6
"ORD-000460",2023-12-08 00:00:00.000,"CUST-03497",1,0,41.78,27.09,14.69,35.16,79.63,56,129,7,6
"ORD-000638",2023-04-27 00:00:00.000,"CUST-02695",1,0,71.57,35.76,35.81,50.03,5.21,31,95,12,6
"ORD-000642",2023-07-03 00:00:00.000,"CUST-06130",1,0,76.51,46.76,29.75,38.88,9.57,6,20,1,6
"ORD-000670",2021-11-25 00:00:00.000,"CUST-01313",1,0,41.1,22.41,18.69,45.47,2.91,53,229,6,6
"ORD-000692",2024-08-13 00:00:00.000,"CUST-06381",1,0,26.89,18.63,8.26,30.72,62.27,42,43,6,6
"ORD-000757",2024-07-15 00:00:00.000,"CUST-02882",1,0,181.32,131.35,49.97,27.56,33.47,20,234,12,6
"ORD-000799",2022-10-02 00:00:00.000,"CUST-07280",1,0,46.74,23.59,23.15,49.53,79.56,62,182,2,6
"ORD-000860",2024-09-19 00:00:00.000,"CUST-03583",1,0,36.65,17.6,19.05,51.98,97.73,22,116,2,6
"ORD-000936",2024-01-24 00:00:00.000,"CUST-01188",1,0,18.45,13.36,5.09,27.59,93.07,28,190,1,6
"ORD-001053",2024-01-02 00:00:00.000,"CUST-04325",1,0,151.18,111.07,40.11,26.53,2.34,52,266,2,6
"ORD-001116",2023-11-21 00:00:00.000,"CUST-06500",1,0,33.3,15.57,17.73,53.24,8.1,31,130,6,6
"ORD-001145",2023-04-29 00:00:00.000,"CUST-05803",1,0,281.8,201.42,80.38,28.52,68.63,61,129,2,6
"ORD-001197",2023-03-13 00:00:00.000,"CUST-06855",1,0,366.47,229.39,137.08,37.41,49.96,1,64,5,6
"ORD-001300",2022-10-14 00:00:00.000,"CUST-04317",1,0,562.83,311.71,251.12,44.62,42.03,8,173,7,6
"ORD-001310",2024-02-17 00:00:00.000,"CUST-02488",1,0,46.52,29.73,16.79,36.09,59.42,11,167,4,6
"ORD-001412",2023-08-31 00:00:00.000,"CUST-07786",1,0,27.06,14.33,12.73,47.04,2.8,53,110,7,6
"ORD-001439",2023-05-12 00:00:00.000,"CUST-04517",1,0,17.17,11.1,6.07,35.35,50.58,26,6,11,6
"ORD-001456",2022-08-10 00:00:00.000,"CUST-05584",1,0,46.88,28.63,18.25,38.93,21.21,29,234,4,6
"ORD-001489",2024-02-14 00:00:00.000,"CUST-07165",1,0,44.14,30.61,13.53,30.65,23.67,36,47,3,6
"ORD-001531",2022-10-29 00:00:00.000,"CUST-05240",1,0,28.92,16.89,12.03,41.6,12.7,28,124,2,6
"ORD-001627",2023-08-09 00:00:00.000,"CUST-01543",1,0,67.66,49.02,18.64,27.55,9.63,31,195,9,6
"ORD-001632",2023-03-02 00:00:00.000,"CUST-06288",1,0,469.84,337.94,131.9,28.07,11.07,48,51,1,6
"ORD-001684",2022-11-27 00:00:00.000,"CUST-03676",1,0,30,15.13,14.87,49.57,13.04,22,59,5,6
"ORD-001731",2022-10-03 00:00:00.000,"CUST-05393",1,0,14.79,8.77,6.02,40.7,93.24,34,116,1,6
"ORD-001744",2022-12-29 00:00:00.000,"CUST-07702",1,0,24.76,15.6,9.16,37,5.78,9,209,3,6
"ORD-001768",2022-08-13 00:00:00.000,"CUST-05160",1,0,47.45,33.6,13.85,29.19,76.23,43,147,14,6
"ORD-001828",2021-08-02 00:00:00.000,"CUST-01170",1,0,921.34,493.18,428.16,46.47,36.63,57,14,9,6
"ORD-001842",2023-12-15 00:00:00.000,"CUST-04776",1,0,45.99,26.88,19.11,41.55,4.41,23,239,16,6
"ORD-002076",2022-02-24 00:00:00.000,"CUST-01219",1,0,2113.63,1517.74,595.89,28.19,4.06,12,218,1,6
"ORD-002085",2022-11-17 00:00:00.000,"CUST-07499",1,0,32.92,18.81,14.11,42.86,33.22,11,96,3,6
"ORD-002166",2022-10-09 00:00:00.000,"CUST-06009",1,0,576.6,390.03,186.57,32.36,9.8,40,108,2,6
"ORD-002194",2024-07-23 00:00:00.000,"CUST-02760",1,0,37.09,17.16,19.93,53.73,76.06,2,89,13,6
"ORD-002270",2021-12-15 00:00:00.000,"CUST-07588",1,0,588.81,342.72,246.09,41.79,90.25,52,127,3,6
"ORD-002361",2022-12-19 00:00:00.000,"CUST-01647",1,0,80.77,42.99,37.78,46.77,8.19,15,38,5,6
"ORD-002392",2023-06-30 00:00:00.000,"CUST-07217",1,0,1297.69,933.38,364.31,28.07,8.69,50,35,18,6
"ORD-002463",2021-09-30 00:00:00.000,"CUST-04260",1,0,14.42,9.22,5.2,36.06,47.6,9,327,6,6
"ORD-002576",2022-11-11 00:00:00.000,"CUST-04628",1,0,65.03,32.34,32.69,50.27,5.43,60,30,14,6
"ORD-002638",2023-04-19 00:00:00.000,"CUST-07376",1,0,36.38,23.34,13.04,35.84,83.87,2,166,13,6
"ORD-002736",2023-10-10 00:00:00.000,"CUST-07022",1,0,559.32,254.45,304.87,54.51,52.96,40,42,13,6
"ORD-002801",2022-09-25 00:00:00.000,"CUST-05069",1,0,48.36,31.76,16.6,34.33,7.84,42,5,3,6
"ORD-002914",2023-09-03 00:00:00.000,"CUST-04528",1,0,128.71,63.91,64.8,50.35,3.49,60,110,8,6
"ORD-002921",2023-03-01 00:00:00.000,"CUST-07248",1,0,139.93,69.17,70.76,50.57,62.26,65,191,14,6
"ORD-002971",2023-02-23 00:00:00.000,"CUST-04018",1,0,32.97,21.49,11.48,34.82,38.68,31,153,13,6
"ORD-003045",2023-10-26 00:00:00.000,"CUST-04260",1,0,413.02,200.79,212.23,51.38,38.54,41,153,12,6
"ORD-003130",2024-02-11 00:00:00.000,"CUST-02598",1,0,18.47,13.09,5.38,29.13,20,27,61,2,6
"ORD-003258",2023-05-22 00:00:00.000,"CUST-02582",1,0,27.83,14.27,13.56,48.72,62.19,31,43,4,6
"ORD-003346",2023-12-30 00:00:00.000,"CUST-01120",1,0,49.3,31.97,17.33,35.15,41.86,14,153,11,6
"ORD-003483",2022-10-29 00:00:00.000,"CUST-06379",1,0,61.06,40.13,20.93,34.28,10.34,56,48,10,6
"ORD-003603",2024-06-08 00:00:00.000,"CUST-03919",1,0,1996.87,999.03,997.84,49.97,39.32,59,14,2,6
"ORD-003633",2024-01-13 00:00:00.000,"CUST-03469",1,0,146.67,75.12,71.55,48.78,29.86,33,23,8,6
"ORD-003717",2022-06-22 00:00:00.000,"CUST-05107",1,0,18.14,13.12,5.02,27.67,97.63,34,116,2,6
"ORD-003792",2021-02-13 00:00:00.000,"CUST-04879",1,0,146.43,76.09,70.34,48.04,13.26,61,25,5,6
"ORD-003850",2022-12-18 00:00:00.000,"CUST-01968",1,0,24.19,11.91,12.28,50.76,95.83,16,55,5,6
"ORD-003925",2022-02-25 00:00:00.000,"CUST-04393",1,0,92.14,55.86,36.28,39.37,29.36,41,153,10,6
"ORD-003936",2024-02-14 00:00:00.000,"CUST-01779",1,0,50.82,30.3,20.52,40.38,6.38,35,28,13,6
